sentence,pseudo_that,matrix_verb_to_cc,verb,verb_in_text,comp_type,context,context_verb,context_verb_n,embedded_n_sum,verb_sum
"Lt. Gen. P.K. Keen , deputy commander of US Southern Command , however , announced that despite the stories of looting and violence , there was less violent crime in Port @-@ au @-@ Prince after the earthquake than before.","Lt. Gen. P.K. Keen , deputy commander of US Southern Command , however , announced despite the stories of looting and violence , there was less violent crime in Port @-@ au @-@ Prince after the earthquake than before.",0,announce,announced,that,"Lt. Gen. P.K. Keen , deputy commander of US Southern Command , however ,","Lt. Gen. P.K. Keen , deputy commander of US Southern Command , however , announced","Lt. Gen. P.K. Keen , deputy commander of US Southern Command , however , announced despite the stories of looting",44.2669487,10.05604744
The International Federation of Red Cross and Red Crescent Societies estimated that as many as 3 million people had been affected by the quake.,The International Federation of Red Cross and Red Crescent Societies estimated as many as 3 million people had been affected by the quake.,0,estimate,estimated,that,The International Federation of Red Cross and Red Crescent Societies,The International Federation of Red Cross and Red Crescent Societies estimated,The International Federation of Red Cross and Red Crescent Societies estimated as many as 3 million,16.89000254,10.72655869
"On the first anniversary of the earthquake , 12 January 2011 , Haitian Prime Minister Jean @-@ Max Bellerive said the death toll from the quake was more than 316 @,@ 000 , raising the figures from previous estimates.","On the first anniversary of the earthquake , 12 January 2011 , Haitian Prime Minister Jean @-@ Max Bellerive said the death toll from the quake was more than 316 @,@ 000 , raising the figures from previous estimates.",0,say,said,none,"On the first anniversary of the earthquake , 12 January 2011 , Haitian Prime Minister Jean @-@ Max Bellerive","On the first anniversary of the earthquake , 12 January 2011 , Haitian Prime Minister Jean @-@ Max Bellerive said","On the first anniversary of the earthquake , 12 January 2011 , Haitian Prime Minister Jean @-@ Max Bellerive said the death toll from the",13.28679117,4.346051216
"Several experts have questioned the validity of the death toll numbers ; Anthony Penna , professor emeritus in environmental history at Northeastern University , warned that casualty estimates could only be a "" guesstimate "" , and Belgian disaster response expert Claude de Ville de Goyet noted that "" round numbers are a sure sign that nobody knows.","Several experts have questioned the validity of the death toll numbers ; Anthony Penna , professor emeritus in environmental history at Northeastern University , warned casualty estimates could only be a "" guesstimate "" , and Belgian disaster response expert Claude de Ville de Goyet noted that "" round numbers are a sure sign that nobody knows.",0,warn,warned,that,"Several experts have questioned the validity of the death toll numbers ; Anthony Penna , professor emeritus in environmental history at Northeastern University ,","Several experts have questioned the validity of the death toll numbers ; Anthony Penna , professor emeritus in environmental history at Northeastern University , warned","Several experts have questioned the validity of the death toll numbers ; Anthony Penna , professor emeritus in environmental history at Northeastern University , warned casualty estimates could only be",39.73206615,9.732262611
"Several experts have questioned the validity of the death toll numbers ; Anthony Penna , professor emeritus in environmental history at Northeastern University , warned that casualty estimates could only be a "" guesstimate "" , and Belgian disaster response expert Claude de Ville de Goyet noted that "" round numbers are a sure sign that nobody knows.","Several experts have questioned the validity of the death toll numbers ; Anthony Penna , professor emeritus in environmental history at Northeastern University , warned that casualty estimates could only be a "" guesstimate "" , and Belgian disaster response expert Claude de Ville de Goyet noted "" round numbers are a sure sign that nobody knows.",0,note,noted,that,"Several experts have questioned the validity of the death toll numbers ; Anthony Penna , professor emeritus in environmental history at Northeastern University , warned that casualty estimates could only be a "" guesstimate "" , and Belgian disaster response expert Claude de Ville de Goyet","Several experts have questioned the validity of the death toll numbers ; Anthony Penna , professor emeritus in environmental history at Northeastern University , warned that casualty estimates could only be a "" guesstimate "" , and Belgian disaster response expert Claude de Ville de Goyet noted","Several experts have questioned the validity of the death toll numbers ; Anthony Penna , professor emeritus in environmental history at Northeastern University , warned that casualty estimates could only be a "" guesstimate "" , and Belgian disaster response expert Claude de Ville de Goyet noted "" round numbers are a",33.05676723,7.107236862
""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not think we will ever know what the death toll is from this earthquake "" , while the director of the Haitian Red Cross , Jean @-@ Pierre Guiteau , noted that his organization had not had the time to count bodies , as their focus had been on the treatment of survivors.",""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not think we will ever know what the death toll is from this earthquake "" , while the director of the Haitian Red Cross , Jean @-@ Pierre Guiteau , noted that his organization had not had the time to count bodies , as their focus had been on the treatment of survivors.",0,say,said,none,""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations ,",""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said",""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not",21.20212591,5.126633644
""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not think we will ever know what the death toll is from this earthquake "" , while the director of the Haitian Red Cross , Jean @-@ Pierre Guiteau , noted that his organization had not had the time to count bodies , as their focus had been on the treatment of survivors.",""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not think we will ever know what the death toll is from this earthquake "" , while the director of the Haitian Red Cross , Jean @-@ Pierre Guiteau , noted that his organization had not had the time to count bodies , as their focus had been on the treatment of survivors.",0,think,think,none,""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not",""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not think",""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not think we will ever know what",18.05964947,3.054573059
""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not think we will ever know what the death toll is from this earthquake "" , while the director of the Haitian Red Cross , Jean @-@ Pierre Guiteau , noted that his organization had not had the time to count bodies , as their focus had been on the treatment of survivors.",""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not think we will ever know what the death toll is from this earthquake "" , while the director of the Haitian Red Cross , Jean @-@ Pierre Guiteau , noted his organization had not had the time to count bodies , as their focus had been on the treatment of survivors.",0,note,noted,that,""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not think we will ever know what the death toll is from this earthquake "" , while the director of the Haitian Red Cross , Jean @-@ Pierre Guiteau ,",""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not think we will ever know what the death toll is from this earthquake "" , while the director of the Haitian Red Cross , Jean @-@ Pierre Guiteau , noted",""" Edmond Mulet , UN Assistant Secretary @-@ General for Peacekeeping Operations , said , "" I do not think we will ever know what the death toll is from this earthquake "" , while the director of the Haitian Red Cross , Jean @-@ Pierre Guiteau , noted his organization had not had",28.69269729,7.623433888
A US State Department spokesperson said the report had inconsistencies and would not be released until they were resolved.,A US State Department spokesperson said the report had inconsistencies and would not be released until they were resolved.,0,say,said,none,A US State Department spokesperson,A US State Department spokesperson said,A US State Department spokesperson said the report had inconsistencies and,35.26785323,1.779203415
The American Red Cross announced on 13 January that it had run out of supplies in Haiti and appealed for public donations.,The American Red Cross announced on 13 January it had run out of supplies in Haiti and appealed for public donations.,3,announce,announced,that,The American Red Cross,The American Red Cross announced,The American Red Cross announced on 13 January it had run out of,38.48850629,6.341544151
"The Canadian government worked to expedite around 100 adoption cases that were already underway when the earthquake struck , issuing temporary permits and waiving regular processing fees ; the federal government also announced that it would cover adopted children 's healthcare costs upon their arrival in Canada until they could be covered under provincially administered public healthcare plans.","The Canadian government worked to expedite around 100 adoption cases that were already underway when the earthquake struck , issuing temporary permits and waiving regular processing fees ; the federal government also announced it would cover adopted children 's healthcare costs upon their arrival in Canada until they could be covered under provincially administered public healthcare plans.",0,announce,announced,that,"The Canadian government worked to expedite around 100 adoption cases that were already underway when the earthquake struck , issuing temporary permits and waiving regular processing fees ; the federal government also","The Canadian government worked to expedite around 100 adoption cases that were already underway when the earthquake struck , issuing temporary permits and waiving regular processing fees ; the federal government also announced","The Canadian government worked to expedite around 100 adoption cases that were already underway when the earthquake struck , issuing temporary permits and waiving regular processing fees ; the federal government also announced it would cover adopted children",30.0531376,4.535637915
"Médecins Sans Frontières ( Doctors Without Borders ; MSF ) reported that the hospitals that had not been destroyed were overwhelmed by large numbers of seriously injured people , and that they had to carry out many amputations.","Médecins Sans Frontières ( Doctors Without Borders ; MSF ) reported the hospitals that had not been destroyed were overwhelmed by large numbers of seriously injured people , and that they had to carry out many amputations.",0,report,reported,that,Médecins Sans Frontières ( Doctors Without Borders ; MSF ),Médecins Sans Frontières ( Doctors Without Borders ; MSF ) reported,Médecins Sans Frontières ( Doctors Without Borders ; MSF ) reported the hospitals that had not,31.12312627,8.73577404
"Ophelia Dahl , director of Partners in Health , reported , "" there are hundreds of thousands of injured people.","Ophelia Dahl , director of Partners in Health , reported , "" there are hundreds of thousands of injured people.",0,report,reported,none,"Ophelia Dahl , director of Partners in Health ,","Ophelia Dahl , director of Partners in Health , reported","Ophelia Dahl , director of Partners in Health , reported , "" there are hundreds",35.00302887,8.420844078
"In a 19 January press release MSF said , "" It is like working in a war situation.","In a 19 January press release MSF said , "" It is like working in a war situation.",0,say,said,none,In a 19 January press release MSF,In a 19 January press release MSF said,"In a 19 January press release MSF said , "" It is like",34.42742664,4.736402273
We cannot accept that planes carrying lifesaving medical supplies and equipment continue to be turned away while our patients die.,We cannot accept planes carrying lifesaving medical supplies and equipment continue to be turned away while our patients die.,0,accept,accept,that,We cannot,We cannot accept,We cannot accept planes carrying lifesaving medical supplies,44.19578922,5.965194225
The US military acknowledged the non @-@ governmental organizations ' complaints concerning flight @-@ operations bias and promised improvement while noting that up to 17 January 600 emergency flights had landed and 50 were diverted ; by the first weekend of disaster operations diversions had been reduced to three on Saturday and two on Sunday.,The US military acknowledged the non @-@ governmental organizations ' complaints concerning flight @-@ operations bias and promised improvement while noting up to 17 January 600 emergency flights had landed and 50 were diverted ; by the first weekend of disaster operations diversions had been reduced to three on Saturday and two on Sunday.,0,note,noting,that,The US military acknowledged the non @-@ governmental organizations ' complaints concerning flight @-@ operations bias and promised improvement while,The US military acknowledged the non @-@ governmental organizations ' complaints concerning flight @-@ operations bias and promised improvement while noting,The US military acknowledged the non @-@ governmental organizations ' complaints concerning flight @-@ operations bias and promised improvement while noting up to 17 January 600,55.48223162,9.039358139
"A spokesman for the joint task force running the airport confirmed that though more flights were requesting landing slots , none were being turned away.","A spokesman for the joint task force running the airport confirmed though more flights were requesting landing slots , none were being turned away.",0,confirm,confirmed,that,A spokesman for the joint task force running the airport,A spokesman for the joint task force running the airport confirmed,A spokesman for the joint task force running the airport confirmed though more flights were requesting,49.95369565,9.235157013
"Brazilian Foreign Minister Celso Amorim and French Minister of State for Cooperation Alain Joyandet criticised the perceived preferential treatment for US aid arriving at the airport , though a spokesman for the French Ministry of Foreign Affairs said that there had been no official protest from the French government with regard to the management of the airport.","Brazilian Foreign Minister Celso Amorim and French Minister of State for Cooperation Alain Joyandet criticised the perceived preferential treatment for US aid arriving at the airport , though a spokesman for the French Ministry of Foreign Affairs said there had been no official protest from the French government with regard to the management of the airport.",0,say,said,that,"Brazilian Foreign Minister Celso Amorim and French Minister of State for Cooperation Alain Joyandet criticised the perceived preferential treatment for US aid arriving at the airport , though a spokesman for the French Ministry of Foreign Affairs","Brazilian Foreign Minister Celso Amorim and French Minister of State for Cooperation Alain Joyandet criticised the perceived preferential treatment for US aid arriving at the airport , though a spokesman for the French Ministry of Foreign Affairs said","Brazilian Foreign Minister Celso Amorim and French Minister of State for Cooperation Alain Joyandet criticised the perceived preferential treatment for US aid arriving at the airport , though a spokesman for the French Ministry of Foreign Affairs said there had been no official",14.78095538,1.524154717
"US officials acknowledged that coordination of the relief effort is central to Haitian recovery , and President Préval asked for calm coordination between assisting nations without mutual accusations.","US officials acknowledged coordination of the relief effort is central to Haitian recovery , and President Préval asked for calm coordination between assisting nations without mutual accusations.",0,acknowledge,acknowledged,that,US officials,US officials acknowledged,US officials acknowledged coordination of the relief effort,36.57287616,9.170797825
"According to a US Air Force Captain who had coordinated flight schedules , nearly all groups sending aid insisted their shipment was urgent.","According to a US Air Force Captain who had coordinated flight schedules , nearly all groups sending aid insisted their shipment was urgent.",0,insist,insisted,none,"According to a US Air Force Captain who had coordinated flight schedules , nearly all groups sending aid","According to a US Air Force Captain who had coordinated flight schedules , nearly all groups sending aid insisted","According to a US Air Force Captain who had coordinated flight schedules , nearly all groups sending aid insisted their shipment was urgent.",32.86127174,16.18433952
"In Jacmel , a city of 50 @,@ 000 , the mayor claimed that 70 percent of the homes had been damaged and that the quake had killed 300 to 500 people and left some 4 @,@ 000 injured.","In Jacmel , a city of 50 @,@ 000 , the mayor claimed 70 percent of the homes had been damaged and that the quake had killed 300 to 500 people and left some 4 @,@ 000 injured.",0,claim,claimed,that,"In Jacmel , a city of 50 @,@ 000 , the mayor","In Jacmel , a city of 50 @,@ 000 , the mayor claimed","In Jacmel , a city of 50 @,@ 000 , the mayor claimed 70 percent of the homes",26.76823047,9.604599953
"In an interview on 21 January , Leo Merores , Haiti 's ambassador to the UN , said that he expected the port to be fully functional again within two weeks.","In an interview on 21 January , Leo Merores , Haiti 's ambassador to the UN , said he expected the port to be fully functional again within two weeks.",0,say,said,that,"In an interview on 21 January , Leo Merores , Haiti 's ambassador to the UN ,","In an interview on 21 January , Leo Merores , Haiti 's ambassador to the UN , said","In an interview on 21 January , Leo Merores , Haiti 's ambassador to the UN , said he expected the port to",24.70999396,1.400508523
"The UN stated that it had resisted formalising the organization of the relief effort to allow as much leeway as possible for those wishing to assist in the relief effort , but with the new agreement "" we 're leaving that emergency phase behind "".","The UN stated it had resisted formalising the organization of the relief effort to allow as much leeway as possible for those wishing to assist in the relief effort , but with the new agreement "" we 're leaving that emergency phase behind "".",0,state,stated,that,The UN,The UN stated,The UN stated it had resisted formalising the,43.98761284,13.211133
The missionaries claimed they were rescuing orphaned children but investigations revealed that more than 20 of the children had been taken from their parents after they were told the children would have a better life in America.,The missionaries claimed they were rescuing orphaned children but investigations revealed that more than 20 of the children had been taken from their parents after they were told the children would have a better life in America.,0,claim,claimed,none,The missionaries,The missionaries claimed,The missionaries claimed they were rescuing orphaned children,26.21644652,10.2945118
The missionaries claimed they were rescuing orphaned children but investigations revealed that more than 20 of the children had been taken from their parents after they were told the children would have a better life in America.,The missionaries claimed they were rescuing orphaned children but investigations revealed more than 20 of the children had been taken from their parents after they were told the children would have a better life in America.,0,reveal,revealed,that,The missionaries claimed they were rescuing orphaned children but investigations,The missionaries claimed they were rescuing orphaned children but investigations revealed,The missionaries claimed they were rescuing orphaned children but investigations revealed more than 20 of the,20.09691405,2.576758146
The missionaries claimed they were rescuing orphaned children but investigations revealed that more than 20 of the children had been taken from their parents after they were told the children would have a better life in America.,The missionaries claimed they were rescuing orphaned children but investigations revealed that more than 20 of the children had been taken from their parents after they were told the children would have a better life in America.,0,tell,told,none,The missionaries claimed they were rescuing orphaned children but investigations revealed that more than 20 of the children had been taken from their parents after they were,The missionaries claimed they were rescuing orphaned children but investigations revealed that more than 20 of the children had been taken from their parents after they were told,The missionaries claimed they were rescuing orphaned children but investigations revealed that more than 20 of the children had been taken from their parents after they were told the children would have a,20.62756968,7.099543095
"In an interview , the United States Ambassador to Haiti Kenneth Merten , stated that the US justice system would not interfere and that "" the Haitian justice system will do what it has to do.","In an interview , the United States Ambassador to Haiti Kenneth Merten , stated the US justice system would not interfere and that "" the Haitian justice system will do what it has to do.",0,state,stated,that,"In an interview , the United States Ambassador to Haiti Kenneth Merten ,","In an interview , the United States Ambassador to Haiti Kenneth Merten , stated","In an interview , the United States Ambassador to Haiti Kenneth Merten , stated the US justice system would",32.00548401,6.26796627
"US President Barack Obama announced that former presidents Bill Clinton , who also acts as the UN special envoy to Haiti , and George W. Bush would coordinate efforts to raise funds for Haiti 's recovery.","US President Barack Obama announced former presidents Bill Clinton , who also acts as the UN special envoy to Haiti , and George W. Bush would coordinate efforts to raise funds for Haiti 's recovery.",0,announce,announced,that,US President Barack Obama,US President Barack Obama announced,"US President Barack Obama announced former presidents Bill Clinton ,",37.550675,7.505991459
Secretary of State Hillary Clinton visited Haiti on 16 January to survey the damage and stated that US $ 48 million had been raised already in the US to help Haiti recover.,Secretary of State Hillary Clinton visited Haiti on 16 January to survey the damage and stated US $ 48 million had been raised already in the US to help Haiti recover.,0,state,stated,that,Secretary of State Hillary Clinton visited Haiti on 16 January to survey the damage and,Secretary of State Hillary Clinton visited Haiti on 16 January to survey the damage and stated,Secretary of State Hillary Clinton visited Haiti on 16 January to survey the damage and stated US $ 48 million had,44.84286571,13.90059662
"Following the meeting with Secretary Clinton , President Préval stated that the highest priorities in Haiti 's recovery were establishing a working government , clearing roads , and ensuring the streets were cleared of bodies to improve sanitary conditions.","Following the meeting with Secretary Clinton , President Préval stated the highest priorities in Haiti 's recovery were establishing a working government , clearing roads , and ensuring the streets were cleared of bodies to improve sanitary conditions.",0,state,stated,that,"Following the meeting with Secretary Clinton , President Préval","Following the meeting with Secretary Clinton , President Préval stated","Following the meeting with Secretary Clinton , President Préval stated the highest priorities in Haiti",35.97031569,10.01014709
"US Vice President Joe Biden stated on 16 January that President Obama "" does not view this as a humanitarian mission with a life cycle of a month.","US Vice President Joe Biden stated on 16 January President Obama "" does not view this as a humanitarian mission with a life cycle of a month.",3,state,stated,that,US Vice President Joe Biden,US Vice President Joe Biden stated,"US Vice President Joe Biden stated on 16 January President Obama "" does not",52.49089262,11.83539772
"Trade and Industry Minister Josseline Colimon Fethiere estimated that the earthquake 's toll on the Haitian economy would be massive , with one in five jobs lost.","Trade and Industry Minister Josseline Colimon Fethiere estimated the earthquake 's toll on the Haitian economy would be massive , with one in five jobs lost.",0,estimate,estimated,that,Trade and Industry Minister Josseline Colimon Fethiere,Trade and Industry Minister Josseline Colimon Fethiere estimated,Trade and Industry Minister Josseline Colimon Fethiere estimated the earthquake 's toll on,46.82657409,13.52086258
"Italy announced it would waive repayment of the € 40 million it had loaned to Haiti , and the World Bank waived the country 's debt repayments for five years.","Italy announced it would waive repayment of the € 40 million it had loaned to Haiti , and the World Bank waived the country 's debt repayments for five years.",0,announce,announced,none,Italy,Italy announced,Italy announced it would waive repayment of,27.86986613,8.449108124
"On 14 January , the US government announced it would give US $ 100 million to the aid effort and pledged that the people of Haiti "" will not be forgotten "".","On 14 January , the US government announced it would give US $ 100 million to the aid effort and pledged that the people of Haiti "" will not be forgotten "".",0,announce,announced,none,"On 14 January , the US government","On 14 January , the US government announced","On 14 January , the US government announced it would give US $",25.15842998,1.968635082
"In the aftermath of the earthquake , the government of Canada announced that it would match the donations of Canadians up to a total of C $ 50 million.","In the aftermath of the earthquake , the government of Canada announced it would match the donations of Canadians up to a total of C $ 50 million.",0,announce,announced,that,"In the aftermath of the earthquake , the government of Canada","In the aftermath of the earthquake , the government of Canada announced","In the aftermath of the earthquake , the government of Canada announced it would match the donations",25.71773994,3.981740952
"On 23 January 2010 , Canadian Prime Minister Stephen Harper announced that the federal government had lifted the limit on the amount of money allocated for matching individual donations to relief efforts , and that the federal government would continue to match individual donations until 12 February 2010 ; by the deadline , Canadians had privately raised C $ 220 million.","On 23 January 2010 , Canadian Prime Minister Stephen Harper announced the federal government had lifted the limit on the amount of money allocated for matching individual donations to relief efforts , and that the federal government would continue to match individual donations until 12 February 2010 ; by the deadline , Canadians had privately raised C $ 220 million.",0,announce,announced,that,"On 23 January 2010 , Canadian Prime Minister Stephen Harper","On 23 January 2010 , Canadian Prime Minister Stephen Harper announced","On 23 January 2010 , Canadian Prime Minister Stephen Harper announced the federal government had lifted",21.62349603,2.297152996
"In addition to Canada 's federal government , the governments of several of the provinces and territories of Canada also announced that they would provide immediate emergency aid to Haiti.","In addition to Canada 's federal government , the governments of several of the provinces and territories of Canada also announced they would provide immediate emergency aid to Haiti.",0,announce,announced,that,"In addition to Canada 's federal government , the governments of several of the provinces and territories of Canada also","In addition to Canada 's federal government , the governments of several of the provinces and territories of Canada also announced","In addition to Canada 's federal government , the governments of several of the provinces and territories of Canada also announced they would provide immediate emergency",30.04499525,8.680252075
"Prime Minister Bellerive announced that from 20 January , people would be helped to relocate outside the zone of devastation , to areas where they may be able to rely on relatives or better fend for themselves ; people who have been made homeless would be relocated to the makeshift camps created by residents within the city , where a more focused delivery of aid and sanitation could be achieved.","Prime Minister Bellerive announced from 20 January , people would be helped to relocate outside the zone of devastation , to areas where they may be able to rely on relatives or better fend for themselves ; people who have been made homeless would be relocated to the makeshift camps created by residents within the city , where a more focused delivery of aid and sanitation could be achieved.",0,announce,announced,that,Prime Minister Bellerive,Prime Minister Bellerive announced,"Prime Minister Bellerive announced from 20 January , people",55.41202879,5.963707924
"An international development consultant contracted by the commission was quoted as saying , “ Look , you have to realize the IHRC [ commission ] was not intended to work as a structure or entity for Haiti or Haitians.","An international development consultant contracted by the commission was quoted as saying , “ Look , you have to realize the IHRC [ commission ] was not intended to work as a structure or entity for Haiti or Haitians.",0,say,saying,none,An international development consultant contracted by the commission was quoted as,An international development consultant contracted by the commission was quoted as saying,"An international development consultant contracted by the commission was quoted as saying , “ Look , you",71.53513658,0.143141106
"An international development consultant contracted by the commission was quoted as saying , “ Look , you have to realize the IHRC [ commission ] was not intended to work as a structure or entity for Haiti or Haitians.","An international development consultant contracted by the commission was quoted as saying , “ Look , you have to realize the IHRC [ commission ] was not intended to work as a structure or entity for Haiti or Haitians.",0,realize,realize,none,"An international development consultant contracted by the commission was quoted as saying , “ Look , you have to","An international development consultant contracted by the commission was quoted as saying , “ Look , you have to realize","An international development consultant contracted by the commission was quoted as saying , “ Look , you have to realize the IHRC [ commission ]",58.59196234,9.061863184
"Several organizations of the US building industry and government , such as the Department of Homeland Security and the International Code Council , among others , reported that they were compiling a "" Haiti Toolkit "" coordinated by the National Institute of Building Sciences.","Several organizations of the US building industry and government , such as the Department of Homeland Security and the International Code Council , among others , reported they were compiling a "" Haiti Toolkit "" coordinated by the National Institute of Building Sciences.",0,report,reported,that,"Several organizations of the US building industry and government , such as the Department of Homeland Security and the International Code Council , among others ,","Several organizations of the US building industry and government , such as the Department of Homeland Security and the International Code Council , among others , reported","Several organizations of the US building industry and government , such as the Department of Homeland Security and the International Code Council , among others , reported they were compiling a """,29.2977888,10.70400508
"In July 2010 , CNN returned to Port @-@ au @-@ Prince and reported , "" It looks like the quake just happened yesterday "" , and Imogen Wall , spokeswoman for the United Nations office of humanitarian affairs in Haiti , said that "" six months from that time it may still look the same.","In July 2010 , CNN returned to Port @-@ au @-@ Prince and reported , "" It looks like the quake just happened yesterday "" , and Imogen Wall , spokeswoman for the United Nations office of humanitarian affairs in Haiti , said that "" six months from that time it may still look the same.",0,report,reported,none,"In July 2010 , CNN returned to Port @-@ au @-@ Prince and","In July 2010 , CNN returned to Port @-@ au @-@ Prince and reported","In July 2010 , CNN returned to Port @-@ au @-@ Prince and reported , "" It looks like",25.58642387,5.771362782
"In July 2010 , CNN returned to Port @-@ au @-@ Prince and reported , "" It looks like the quake just happened yesterday "" , and Imogen Wall , spokeswoman for the United Nations office of humanitarian affairs in Haiti , said that "" six months from that time it may still look the same.","In July 2010 , CNN returned to Port @-@ au @-@ Prince and reported , "" It looks like the quake just happened yesterday "" , and Imogen Wall , spokeswoman for the United Nations office of humanitarian affairs in Haiti , said "" six months from that time it may still look the same.",0,say,said,that,"In July 2010 , CNN returned to Port @-@ au @-@ Prince and reported , "" It looks like the quake just happened yesterday "" , and Imogen Wall , spokeswoman for the United Nations office of humanitarian affairs in Haiti ,","In July 2010 , CNN returned to Port @-@ au @-@ Prince and reported , "" It looks like the quake just happened yesterday "" , and Imogen Wall , spokeswoman for the United Nations office of humanitarian affairs in Haiti , said","In July 2010 , CNN returned to Port @-@ au @-@ Prince and reported , "" It looks like the quake just happened yesterday "" , and Imogen Wall , spokeswoman for the United Nations office of humanitarian affairs in Haiti , said "" six months from that",39.07256317,1.603225827
"He went on to say that the number was rising instead of diminishing , and reported that the state had decided to first rebuild downtown Port @-@ au @-@ Prince and a new government center , but reconstruction had not yet begun.","He went on to say the number was rising instead of diminishing , and reported that the state had decided to first rebuild downtown Port @-@ au @-@ Prince and a new government center , but reconstruction had not yet begun.",0,say,say,that,He went on to,He went on to say,He went on to say the number was rising instead,43.39877987,2.634152651
"He went on to say that the number was rising instead of diminishing , and reported that the state had decided to first rebuild downtown Port @-@ au @-@ Prince and a new government center , but reconstruction had not yet begun.","He went on to say that the number was rising instead of diminishing , and reported the state had decided to first rebuild downtown Port @-@ au @-@ Prince and a new government center , but reconstruction had not yet begun.",0,report,reported,that,"He went on to say that the number was rising instead of diminishing , and","He went on to say that the number was rising instead of diminishing , and reported","He went on to say that the number was rising instead of diminishing , and reported the state had decided to",28.44102585,10.45642757
"In October 2010 , Refugees International characterized the aid agencies as dysfunctional and inexperienced saying , "" The people of Haiti are still living in a state of emergency , with a humanitarian response that appears paralyzed "".","In October 2010 , Refugees International characterized the aid agencies as dysfunctional and inexperienced saying , "" The people of Haiti are still living in a state of emergency , with a humanitarian response that appears paralyzed "".",0,say,saying,none,"In October 2010 , Refugees International characterized the aid agencies as dysfunctional and inexperienced","In October 2010 , Refugees International characterized the aid agencies as dysfunctional and inexperienced saying","In October 2010 , Refugees International characterized the aid agencies as dysfunctional and inexperienced saying , "" The people of",25.96964341,16.00023341
"They claimed that rape of Haitian women and girls who had been living in camps since the January earthquake was increasing , in part , because the United Nations wasn 't doing enough to protect them.","They claimed rape of Haitian women and girls who had been living in camps since the January earthquake was increasing , in part , because the United Nations wasn 't doing enough to protect them.",0,claim,claimed,that,They,They claimed,They claimed rape of Haitian women and,39.04006529,9.908254623
"The report stated , "" One year on , only five percent of the rubble has been cleared and only 15 percent of the required basic and temporary houses have been built.","The report stated , "" One year on , only five percent of the rubble has been cleared and only 15 percent of the required basic and temporary houses have been built.",0,state,stated,none,The report,The report stated,"The report stated , "" One year on",35.59144056,8.677443504
"Fox said that in many instances rubble removal "" means it was [ moved ] off someone 's property onto the road in front of the property "".","Fox said in many instances rubble removal "" means it was [ moved ] off someone 's property onto the road in front of the property "".",0,say,said,that,Fox,Fox said,Fox said in many instances rubble removal,58.20643687,9.065461159
"Fox said that in many instances rubble removal "" means it was [ moved ] off someone 's property onto the road in front of the property "".","Fox said that in many instances rubble removal "" means it was [ moved ] off someone 's property onto the road in front of the property "".",0,mean,means,none,"Fox said that in many instances rubble removal ""","Fox said that in many instances rubble removal "" means","Fox said that in many instances rubble removal "" means it was [ moved ]",43.83435011,16.0379467
"Amnesty International reported that armed men were preying with impunity on girls and women in displacement camps , worsening the trauma of having lost homes , livelihoods and loved ones.","Amnesty International reported armed men were preying with impunity on girls and women in displacement camps , worsening the trauma of having lost homes , livelihoods and loved ones.",0,report,reported,that,Amnesty International,Amnesty International reported,Amnesty International reported armed men were preying with,47.92898229,6.920497909
"In a public letter co @-@ authored with UNESCO head Irina Bokova , Jean said , "" As time passes , what began as a natural disaster is becoming a disgraceful reflection on the international community.","In a public letter co @-@ authored with UNESCO head Irina Bokova , Jean said , "" As time passes , what began as a natural disaster is becoming a disgraceful reflection on the international community.",0,say,said,none,"In a public letter co @-@ authored with UNESCO head Irina Bokova , Jean","In a public letter co @-@ authored with UNESCO head Irina Bokova , Jean said","In a public letter co @-@ authored with UNESCO head Irina Bokova , Jean said , "" As time passes",31.26358205,11.61895466
"In January 2012 , two years since the quake , figures released by the United Nations show that of the nearly US $ 4 @.@ 5 billion pledged for reconstruction projects in 2010 and 2011 , only 43 percent has been delivered.","In January 2012 , two years since the quake , figures released by the United Nations show of the nearly US $ 4 @.@ 5 billion pledged for reconstruction projects in 2010 and 2011 , only 43 percent has been delivered.",0,show,show,that,"In January 2012 , two years since the quake , figures released by the United Nations","In January 2012 , two years since the quake , figures released by the United Nations show","In January 2012 , two years since the quake , figures released by the United Nations show of the nearly US $",39.56326866,6.259303093
