sentence,pseudo_that,verb,comp_type
Archaeologists have been unable to prove whether this adoption of farming was because of a new influx of migrants coming in from continental Europe or because the indigenous Mesolithic Britons came to adopt the agricultural practices of continental societies.,Archaeologists have been unable to prove whether this adoption of farming was because of a new influx of migrants coming in from continental Europe or because the indigenous Mesolithic Britons came to adopt the agricultural practices of continental societies.,prove,other
"Throughout most of Britain , there is little evidence of cereal or permanent dwellings from this period , leading archaeologists to believe that the Early Neolithic economy on the island was largely pastoral , relying on herding cattle , with people living a nomadic or semi @-@ nomadic way of life.","Throughout most of Britain , there is little evidence of cereal or permanent dwellings from this period , leading archaeologists to believe the Early Neolithic economy on the island was largely pastoral , relying on herding cattle , with people living a nomadic or semi @-@ nomadic way of life.",believe,that
"Many archaeologists have suggested that this is because Early Neolithic people adhered to an ancestor cult that venerated the spirits of the dead , believing that they could intercede with the forces of nature for the benefit of their living descendants.","Many archaeologists have suggested this is because Early Neolithic people adhered to an ancestor cult that venerated the spirits of the dead , believing that they could intercede with the forces of nature for the benefit of their living descendants.",suggest,that
"Many archaeologists have suggested that this is because Early Neolithic people adhered to an ancestor cult that venerated the spirits of the dead , believing that they could intercede with the forces of nature for the benefit of their living descendants.","Many archaeologists have suggested that this is because Early Neolithic people adhered to an ancestor cult that venerated the spirits of the dead , believing they could intercede with the forces of nature for the benefit of their living descendants.",believe,that
"Archaeologist Caroline Malone noted that the tombs would have served as one of a variety of markers in the landscape that conveyed information on "" territory , political allegiance , ownership , and ancestors.","Archaeologist Caroline Malone noted the tombs would have served as one of a variety of markers in the landscape that conveyed information on "" territory , political allegiance , ownership , and ancestors.",note,that
""" Many archaeologists have subscribed to the idea that these tomb @-@ shrines served as territorial markers between different tribal groups , although others have argued that such markers would be of little use to a nomadic herding society.",""" Many archaeologists have subscribed to the idea that these tomb @-@ shrines served as territorial markers between different tribal groups , although others have argued such markers would be of little use to a nomadic herding society.",argue,that
Instead it has been suggested that they represent markers along herding pathways.,Instead it has been suggested they represent markers along herding pathways.,suggest,that
"Many archaeologists have suggested that the construction of such monuments reflects an attempt to stamp control and ownership over the land , thus representing a change in mindset brought about by Neolithicisation.","Many archaeologists have suggested the construction of such monuments reflects an attempt to stamp control and ownership over the land , thus representing a change in mindset brought about by Neolithicisation.",suggest,that
Others have suggested that these monuments were built on sites already deemed sacred by Mesolithic hunter @-@ gatherers.,Others have suggested these monuments were built on sites already deemed sacred by Mesolithic hunter @-@ gatherers.,suggest,that
"These earthen long barrows were typically constructed of timber because building stone was scarce in southern Britain ; archaeologist Aubrey Burl argued that these timber tombs might have been "" even more eye @-@ catching "" than their stone counterparts , perhaps consisting of "" towering carved poles , flamboyantly painted "" , but that evidence of such sculptures has not survived.","These earthen long barrows were typically constructed of timber because building stone was scarce in southern Britain ; archaeologist Aubrey Burl argued these timber tombs might have been "" even more eye @-@ catching "" than their stone counterparts , perhaps consisting of "" towering carved poles , flamboyantly painted "" , but that evidence of such sculptures has not survived.",argue,that
"It is not known if they were all built at the same time , or whether they were constructed in succession , while similarly it is not known if they each served the same function or whether there was a hierarchy in their usage.","It is not known if they were all built at the same time , or whether they were constructed in succession , while similarly it is not known if they each served the same function or whether there was a hierarchy in their usage.",know,other
"It is not known if they were all built at the same time , or whether they were constructed in succession , while similarly it is not known if they each served the same function or whether there was a hierarchy in their usage.","It is not known if they were all built at the same time , or whether they were constructed in succession , while similarly it is not known if they each served the same function or whether there was a hierarchy in their usage.",know,other
"Based on a stylistic analysis of their architectural designs , Stuart Piggott thought that they had originated in the area around the Low Countries , while Glyn Daniel instead believed that the same evidence showed an influence from Scandinavia.","Based on a stylistic analysis of their architectural designs , Stuart Piggott thought they had originated in the area around the Low Countries , while Glyn Daniel instead believed that the same evidence showed an influence from Scandinavia.",think,that
"Based on a stylistic analysis of their architectural designs , Stuart Piggott thought that they had originated in the area around the Low Countries , while Glyn Daniel instead believed that the same evidence showed an influence from Scandinavia.","Based on a stylistic analysis of their architectural designs , Stuart Piggott thought that they had originated in the area around the Low Countries , while Glyn Daniel instead believed the same evidence showed an influence from Scandinavia.",believe,that
"John H. Evans instead suggested an origin in Germany , and Ronald F. Jessup thought that their origins could be seen in the Cotswold @-@ Severn megalithic group.","John H. Evans instead suggested an origin in Germany , and Ronald F. Jessup thought their origins could be seen in the Cotswold @-@ Severn megalithic group.",think,that
"Ashbee noted that their close clustering in the same area was reminiscent of the megalithic tomb @-@ shrine traditions of continental Northern Europe , and emphasised that the Medway Megaliths were a regional manifestation of a tradition widespread across Early Neolithic Europe.","Ashbee noted their close clustering in the same area was reminiscent of the megalithic tomb @-@ shrine traditions of continental Northern Europe , and emphasised that the Medway Megaliths were a regional manifestation of a tradition widespread across Early Neolithic Europe.",note,that
"As such , the archaeologist Paul Ashbee asserted that the monument could be divided into three particular features : the chamber , the barrow , and the sarsen stone surround.","As such , the archaeologist Paul Ashbee asserted the monument could be divided into three particular features : the chamber , the barrow , and the sarsen stone surround.",assert,that
"Archaeologist Sian Killick suggested that the Coldrum Long Barrow might have been built within view of a nearby settlement , and that this "" may have been a key factor in the experience of ceremonies and rituals taking place at the tombs and may also have defined a link between the tomb builders and the landscape.","Archaeologist Sian Killick suggested the Coldrum Long Barrow might have been built within view of a nearby settlement , and that this "" may have been a key factor in the experience of ceremonies and rituals taking place at the tombs and may also have defined a link between the tomb builders and the landscape.",suggest,that
"Excavation has revealed that flint masonry was used to pack around the chamber and support its sarsens ; twentieth @-@ century renovation has seen this largely replaced with cement , allowing the stones to continue standing upright.","Excavation has revealed flint masonry was used to pack around the chamber and support its sarsens ; twentieth @-@ century renovation has seen this largely replaced with cement , allowing the stones to continue standing upright.",reveal,that
"Ashbee suggested that given its size and comparisons with other long barrows , such as Fussell 's Lodge , the Coldrum tomb could have housed the remains of over a hundred individuals.","Ashbee suggested given its size and comparisons with other long barrows , such as Fussell 's Lodge , the Coldrum tomb could have housed the remains of over a hundred individuals.",suggest,that
"Disputing earlier conclusions , it stated that the minimum number of individuals was seventeen.","Disputing earlier conclusions , it stated the minimum number of individuals was seventeen.",state,that
"Keith had suggested that the crania he examined displayed similar features , which he attributed to the different individuals belonging to "" one family - or several families united by common descent.","Keith had suggested the crania he examined displayed similar features , which he attributed to the different individuals belonging to "" one family - or several families united by common descent.",suggest,that
""" Similar observations had been made regarding the crania from other long barrows in Britain , although osteoarchaeologists Martin Smith and Megan Brickley noted that this was not necessarily representative of a family group.",""" Similar observations had been made regarding the crania from other long barrows in Britain , although osteoarchaeologists Martin Smith and Megan Brickley noted this was not necessarily representative of a family group.",note,that
"Instead , they stated that it would also be consistent with "" a population that was still relatively small and scattered "" , in which most individuals were interrelated.","Instead , they stated it would also be consistent with "" a population that was still relatively small and scattered "" , in which most individuals were interrelated.",state,that
"Wysocki 's team noted that in all but one case , the fracture morphologies are consistent with dry @-@ bone breakage.","Wysocki 's team noted in all but one case , the fracture morphologies are consistent with dry @-@ bone breakage.",note,that
"Radiocarbon dating of the remains suggested Early Neolithic activity began at the site during 3980 – 3800 calibrated BCE ( 95 % probability ) or 3960 – 3880 cal BCE ( 68 % probability ) , when the first human remains were buried at the site.","Radiocarbon dating of the remains suggested Early Neolithic activity began at the site during 3980 – 3800 calibrated BCE ( 95 % probability ) or 3960 – 3880 cal BCE ( 68 % probability ) , when the first human remains were buried at the site.",suggest,none
"Radiocarbon dating of the remains suggested Early Neolithic activity began at the site during 3980 – 3800 calibrated BCE ( 95 % probability ) or 3960 – 3880 cal BCE ( 68 % probability ) , when the first human remains were buried at the site.","Radiocarbon dating of the remains suggested Early Neolithic activity began at the site during 3980 – 3800 calibrated BCE ( 95 % probability ) or 3960 – 3880 cal BCE ( 68 % probability ) , when the first human remains were buried at the site.",suggest,none
"It then suggested that after an interval of either 60 – 350 years ( 95 % probability ) or 140 – 290 years ( 68 % probability ) , further depositions of human remains were made inside the tomb.","It then suggested after an interval of either 60 – 350 years ( 95 % probability ) or 140 – 290 years ( 68 % probability ) , further depositions of human remains were made inside the tomb.",suggest,that
"Cut @-@ marks were identified on a number of the bones ( two femora , two innominates , and one cranium ) , with osteoarchaeological specialists suggesting that these had been created post @-@ mortem as the bodies were dismembered and the bones removed from their attached ligaments.","Cut @-@ marks were identified on a number of the bones ( two femora , two innominates , and one cranium ) , with osteoarchaeological specialists suggesting these had been created post @-@ mortem as the bodies were dismembered and the bones removed from their attached ligaments.",suggest,that
"However , they further suggested that the lack of such cut @-@ marks on certain bones was suggestive that the body had already undergone partial decomposition or the removal of soft tissues prior to the process of dismemberment.","However , they further suggested the lack of such cut @-@ marks on certain bones was suggestive that the body had already undergone partial decomposition or the removal of soft tissues prior to the process of dismemberment.",suggest,that
"The precision of the cut @-@ marks suggests that this dismemberment was done carefully ; "" they do not suggest frenzied hacking or mutilation.","The precision of the cut @-@ marks suggests this dismemberment was done carefully ; "" they do not suggest frenzied hacking or mutilation.",suggest,that
"Although archaeologist Paul Ashbee noted that the Coldrum Stones represent "" Kent 's least damaged megalithic long barrow "" , it too has suffered considerable damage , having become dilapidated and fallen apart over the six millennia since its original construction.","Although archaeologist Paul Ashbee noted the Coldrum Stones represent "" Kent 's least damaged megalithic long barrow "" , it too has suffered considerable damage , having become dilapidated and fallen apart over the six millennia since its original construction.",note,that
"Excavation of Chestnuts Long Barrow revealed that it had been systematically destroyed in one event , and Ashbee suggested that the same may have happened to the Coldrum Stones.","Excavation of Chestnuts Long Barrow revealed it had been systematically destroyed in one event , and Ashbee suggested that the same may have happened to the Coldrum Stones.",reveal,that
"Excavation of Chestnuts Long Barrow revealed that it had been systematically destroyed in one event , and Ashbee suggested that the same may have happened to the Coldrum Stones.","Excavation of Chestnuts Long Barrow revealed that it had been systematically destroyed in one event , and Ashbee suggested the same may have happened to the Coldrum Stones.",suggest,that
"He believed that the kerb @-@ stones around the barrow were toppled , laid prostrate in the surrounding ditch , and then buried during the late thirteenth or early fourteenth century , by Christians seeking to obliterate non @-@ Christian monuments.","He believed the kerb @-@ stones around the barrow were toppled , laid prostrate in the surrounding ditch , and then buried during the late thirteenth or early fourteenth century , by Christians seeking to obliterate non @-@ Christian monuments.",believe,that
"Conversely , the archaeologist John Alexander — who excavated Chestnuts — suggested that the Medway tombs were destroyed by robbers seeking to locate treasure within them.","Conversely , the archaeologist John Alexander — who excavated Chestnuts — suggested the Medway tombs were destroyed by robbers seeking to locate treasure within them.",suggest,that
"Alexander believed that the destruction n Kent may have been brought about by a special commissioner , highlighting that the "" expertness and thoroughness of the robbery "" at Chestnuts would have necessitated resources beyond that which a local community could likely produce.","Alexander believed the destruction n Kent may have been brought about by a special commissioner , highlighting that the "" expertness and thoroughness of the robbery "" at Chestnuts would have necessitated resources beyond that which a local community could likely produce.",believe,that
"Ashbee further suggested that in subsequent centuries , locals raided the damaged Coldrum tomb for loamy chalk and stone , which was then re @-@ used as building material.","Ashbee further suggested in subsequent centuries , locals raided the damaged Coldrum tomb for loamy chalk and stone , which was then re @-@ used as building material.",suggest,that
"He suggested that the tales of battles taking place at this site and at other Medway Megaliths had not developed independently among the local population but had "" percolated down from the theories of antiquaries "" who believed that the Early Medieval Battle of Aylesford , which was recorded in the Anglo @-@ Saxon Chronicle , took place in the area.","He suggested the tales of battles taking place at this site and at other Medway Megaliths had not developed independently among the local population but had "" percolated down from the theories of antiquaries "" who believed that the Early Medieval Battle of Aylesford , which was recorded in the Anglo @-@ Saxon Chronicle , took place in the area.",suggest,that
"He suggested that the tales of battles taking place at this site and at other Medway Megaliths had not developed independently among the local population but had "" percolated down from the theories of antiquaries "" who believed that the Early Medieval Battle of Aylesford , which was recorded in the Anglo @-@ Saxon Chronicle , took place in the area.","He suggested that the tales of battles taking place at this site and at other Medway Megaliths had not developed independently among the local population but had "" percolated down from the theories of antiquaries "" who believed the Early Medieval Battle of Aylesford , which was recorded in the Anglo @-@ Saxon Chronicle , took place in the area.",believe,that
"Later records reveal that it had gained widespread distribution in England , as well as a single occurrence each in Wales and Ireland.","Later records reveal it had gained widespread distribution in England , as well as a single occurrence each in Wales and Ireland.",reveal,that
The folklorist S. P. Menefee suggested that it could be attributed to an animistic understanding that these megaliths had lives of their own.,The folklorist S. P. Menefee suggested it could be attributed to an animistic understanding that these megaliths had lives of their own.,suggest,that
"He further reported that in both 1804 and 1825 , skulls had been found at the site.","He further reported in both 1804 and 1825 , skulls had been found at the site.",report,that
"He further added that "" it is a tradition of the peasantry that a continuous line of stones ran from Coldrum direct to the well @-@ known monument called Kit 's Cotty [ sic ] House "" , attributing this belief to the variety of megaliths which were scattered throughout the landscape.","He further added "" it is a tradition of the peasantry that a continuous line of stones ran from Coldrum direct to the well @-@ known monument called Kit 's Cotty [ sic ] House "" , attributing this belief to the variety of megaliths which were scattered throughout the landscape.",add,that
"Describing the monument as a stone circle , they asserted that they discovered Anglo @-@ Saxon pottery at the site , and noted that as well as being called the Coldrum Stones , the monument also had the name of the Adscombe Stones , which Kemble believed originated with the Old English word for funeral pile , ad.","Describing the monument as a stone circle , they asserted they discovered Anglo @-@ Saxon pottery at the site , and noted that as well as being called the Coldrum Stones , the monument also had the name of the Adscombe Stones , which Kemble believed originated with the Old English word for funeral pile , ad.",assert,that
"Describing the monument as a stone circle , they asserted that they discovered Anglo @-@ Saxon pottery at the site , and noted that as well as being called the Coldrum Stones , the monument also had the name of the Adscombe Stones , which Kemble believed originated with the Old English word for funeral pile , ad.","Describing the monument as a stone circle , they asserted that they discovered Anglo @-@ Saxon pottery at the site , and noted as well as being called the Coldrum Stones , the monument also had the name of the Adscombe Stones , which Kemble believed originated with the Old English word for funeral pile , ad.",note,that
"A later account elaborated on this , stating that two individuals excavated in the centre of the dolmen without permission , discovering a human skeleton , the skull of which was then re @-@ buried in the churchyard at Meopham.","A later account elaborated on this , stating two individuals excavated in the centre of the dolmen without permission , discovering a human skeleton , the skull of which was then re @-@ buried in the churchyard at Meopham.",state,that
"In an 1878 note published in The Journal of the Anthropological Institute of Great Britain and Ireland , Lewis noted that while many tourists visited Kit 's Coty House , "" very few goes to or ever hears of a yet more curious collection of stones at Colderham or Coldrum Lodge "".","In an 1878 note published in The Journal of the Anthropological Institute of Great Britain and Ireland , Lewis noted while many tourists visited Kit 's Coty House , "" very few goes to or ever hears of a yet more curious collection of stones at Colderham or Coldrum Lodge "".",note,that
"He believed that the monument consisted of both a "" chamber "" and an "" oval "" of stones , suggesting that they were "" two distinct erections "".","He believed the monument consisted of both a "" chamber "" and an "" oval "" of stones , suggesting that they were "" two distinct erections "".",believe,that
"He believed that the monument consisted of both a "" chamber "" and an "" oval "" of stones , suggesting that they were "" two distinct erections "".","He believed that the monument consisted of both a "" chamber "" and an "" oval "" of stones , suggesting they were "" two distinct erections "".",suggest,that
"In 1880 , the archaeologist Flinders Petrie included the existence of the stones at "" Coldreham "" in his list of Kentish earthworks ; although noting that a previous commentator had described the stones as being in the shape of an oval , he instead described them as forming "" a rectilinear enclosure "" around the chamber.","In 1880 , the archaeologist Flinders Petrie included the existence of the stones at "" Coldreham "" in his list of Kentish earthworks ; although noting a previous commentator had described the stones as being in the shape of an oval , he instead described them as forming "" a rectilinear enclosure "" around the chamber.",note,that
"He returned the next year , noting that at this point , the brushwood had been cut away to reveal the megaliths.","He returned the next year , noting at this point , the brushwood had been cut away to reveal the megaliths.",note,that
""" Comparing it to other monuments of its type in Britain , he asserted that it was undoubtedly "" of sepulchral origin , belonging to a period anterior to the Roman domination of Britain.",""" Comparing it to other monuments of its type in Britain , he asserted it was undoubtedly "" of sepulchral origin , belonging to a period anterior to the Roman domination of Britain.",assert,that
""" Payne also noted a folk tradition that there were stone avenues connecting Coldrum to the Addington Long Barrow , although added that he was unable to discover any evidence for the existence of this feature.",""" Payne also noted a folk tradition that there were stone avenues connecting Coldrum to the Addington Long Barrow , although added he was unable to discover any evidence for the existence of this feature.",add,that
""" Suggesting that its design indicates that it was built during "" a late date in the neolithic age "" , he compared the workmanship in producing the megaliths to that at the stone circle of Stonehenge in Wiltshire , although noted that they differed in that the Coldrum Stones clearly represented "" a sepulchral pile "".",""" Suggesting its design indicates that it was built during "" a late date in the neolithic age "" , he compared the workmanship in producing the megaliths to that at the stone circle of Stonehenge in Wiltshire , although noted that they differed in that the Coldrum Stones clearly represented "" a sepulchral pile "".",suggest,that
""" Suggesting that its design indicates that it was built during "" a late date in the neolithic age "" , he compared the workmanship in producing the megaliths to that at the stone circle of Stonehenge in Wiltshire , although noted that they differed in that the Coldrum Stones clearly represented "" a sepulchral pile "".",""" Suggesting that its design indicates it was built during "" a late date in the neolithic age "" , he compared the workmanship in producing the megaliths to that at the stone circle of Stonehenge in Wiltshire , although noted that they differed in that the Coldrum Stones clearly represented "" a sepulchral pile "".",indicate,that
""" Suggesting that its design indicates that it was built during "" a late date in the neolithic age "" , he compared the workmanship in producing the megaliths to that at the stone circle of Stonehenge in Wiltshire , although noted that they differed in that the Coldrum Stones clearly represented "" a sepulchral pile "".",""" Suggesting that its design indicates that it was built during "" a late date in the neolithic age "" , he compared the workmanship in producing the megaliths to that at the stone circle of Stonehenge in Wiltshire , although noted they differed in that the Coldrum Stones clearly represented "" a sepulchral pile "".",note,that
"In that same issue , Lewis included an added note in which he rejected the idea that the monument had once been covered by an earthen tumulus because he could see "" no evidence that anything of that kind ever existed "" , and instead he interpreted the site as a stone circle , comparing it to the examples at Avebury , Arborlow , and Stanton Drew , suggesting that the central chamber was a shrine.","In that same issue , Lewis included an added note in which he rejected the idea that the monument had once been covered by an earthen tumulus because he could see "" no evidence that anything of that kind ever existed "" , and instead he interpreted the site as a stone circle , comparing it to the examples at Avebury , Arborlow , and Stanton Drew , suggesting the central chamber was a shrine.",suggest,that
"In 2009 , the archaeologists Martin Smith and Megan Brickley asserted that Bennett 's excavations had taken heed of the advice of Pitt @-@ Rivers that excavations should be recorded in full.","In 2009 , the archaeologists Martin Smith and Megan Brickley asserted Bennett 's excavations had taken heed of the advice of Pitt @-@ Rivers that excavations should be recorded in full.",assert,that
"They noted that Bennett had provided "" clear plan and section drawings , photographs of the monument and careful attempts to consider site formation processes.","They noted Bennett had provided "" clear plan and section drawings , photographs of the monument and careful attempts to consider site formation processes.",note,that
""" Suggesting that the monument was constructed on agricultural land , in his published report Bennett cited the ideas of anthropologist James Frazer in The Golden Bough to suggest that the Coldrum Stones "" monument may at one time have been dedicated , though not necessarily initially so , to the worship of the corn god and of agriculture.",""" Suggesting the monument was constructed on agricultural land , in his published report Bennett cited the ideas of anthropologist James Frazer in The Golden Bough to suggest that the Coldrum Stones "" monument may at one time have been dedicated , though not necessarily initially so , to the worship of the corn god and of agriculture.",suggest,that
""" Suggesting that the monument was constructed on agricultural land , in his published report Bennett cited the ideas of anthropologist James Frazer in The Golden Bough to suggest that the Coldrum Stones "" monument may at one time have been dedicated , though not necessarily initially so , to the worship of the corn god and of agriculture.",""" Suggesting that the monument was constructed on agricultural land , in his published report Bennett cited the ideas of anthropologist James Frazer in The Golden Bough to suggest the Coldrum Stones "" monument may at one time have been dedicated , though not necessarily initially so , to the worship of the corn god and of agriculture.",suggest,that
"However , Evans later stated that "" we have no means of knowing "" whether human sacrifice had taken place at the site.","However , Evans later stated "" we have no means of knowing "" whether human sacrifice had taken place at the site.",state,that
"Their project was financed through grants provided by the British Association and the Society of Antiquaries , with Filkins noting that at the time of its commencement , "" a miniature jungle "" had grown up around the site which had to be cleared.","Their project was financed through grants provided by the British Association and the Society of Antiquaries , with Filkins noting at the time of its commencement , "" a miniature jungle "" had grown up around the site which had to be cleared.",note,that
"In 1998 , Ashbee noted that while from "" a present @-@ day perspective , it is possible to see shortcomings [ ... ] in terms of the general standards of the early part of this century , there is much to commend.","In 1998 , Ashbee noted while from "" a present @-@ day perspective , it is possible to see shortcomings [ ... ] in terms of the general standards of the early part of this century , there is much to commend.",note,that
"A plaque was erected to mark this , which erroneously termed the monument a stone circle ; in 1953 , the archaeologist Leslie Grinsell expressed the view that "" it is hoped that this error may be rectified in the near future "".","A plaque was erected to mark this , which erroneously termed the monument a stone circle ; in 1953 , the archaeologist Leslie Grinsell expressed the view that "" it is hoped this error may be rectified in the near future "".",hope,that
"Environmental studies on the missing link began in 1977 , and the state estimated that the 1 @.@ 5 @-@ mile ( 2 @.@ 4 km ) long section of freeway would cost $ 15 – 21 million ( equivalent to $ 59 – 82 million in 2016 ) to construct.","Environmental studies on the missing link began in 1977 , and the state estimated the 1 @.@ 5 @-@ mile ( 2 @.@ 4 km ) long section of freeway would cost $ 15 – 21 million ( equivalent to $ 59 – 82 million in 2016 ) to construct.",estimate,that
"Tennant later said that some listeners had assumed the song referred to prostitutes , but was actually , "" about rough boys getting a bit of posh.","Tennant later said some listeners had assumed the song referred to prostitutes , but was actually , "" about rough boys getting a bit of posh.",say,that
"The Bobby Orlando @-@ produced version of the single included another line , "" All your stopping , stalling and starting , / Who do you think you are , Joe Stalin ? "" which was removed for the 1985 version.","The Bobby Orlando @-@ produced version of the single included another line , "" All your stopping , stalling and starting , / Who do you think you are , Joe Stalin ? "" which was removed for the 1985 version.",think,none
"Stephen Thomas Erlewine from Allmusic in a review of the album Please called the song "" hypnotic "" , adding that "" it 's not only a classic dance single , it 's a classic pop single "".","Stephen Thomas Erlewine from Allmusic in a review of the album Please called the song "" hypnotic "" , adding "" it 's not only a classic dance single , it 's a classic pop single "".",add,that
"In a review for the group 's second studio album Actually , Rob Hoerburger from Rolling Stone magazine commented that "" West End Girls "" was "" as catchy as anything on the radio in 1986 "" , praising "" its enticing bass line and foreboding synth riffs "" , but felt that it was almost "" nullified by peevish spoken asides and the cryptic posturing of the duo 's lyrics "".","In a review for the group 's second studio album Actually , Rob Hoerburger from Rolling Stone magazine commented "" West End Girls "" was "" as catchy as anything on the radio in 1986 "" , praising "" its enticing bass line and foreboding synth riffs "" , but felt that it was almost "" nullified by peevish spoken asides and the cryptic posturing of the duo 's lyrics "".",comment,that
"In a review for the group 's second studio album Actually , Rob Hoerburger from Rolling Stone magazine commented that "" West End Girls "" was "" as catchy as anything on the radio in 1986 "" , praising "" its enticing bass line and foreboding synth riffs "" , but felt that it was almost "" nullified by peevish spoken asides and the cryptic posturing of the duo 's lyrics "".","In a review for the group 's second studio album Actually , Rob Hoerburger from Rolling Stone magazine commented that "" West End Girls "" was "" as catchy as anything on the radio in 1986 "" , praising "" its enticing bass line and foreboding synth riffs "" , but felt it was almost "" nullified by peevish spoken asides and the cryptic posturing of the duo 's lyrics "".",feel,that
"In a review of the live album Concrete , Michael Hubbard from musicOMH said that "" West End Girls "" was one of the songs that "" round out a collection that never feels too long or superfluous "" , adding that it "" goes some way to installing Tennant and Lowe as national treasures "".","In a review of the live album Concrete , Michael Hubbard from musicOMH said "" West End Girls "" was one of the songs that "" round out a collection that never feels too long or superfluous "" , adding that it "" goes some way to installing Tennant and Lowe as national treasures "".",say,that
"In a review of the live album Concrete , Michael Hubbard from musicOMH said that "" West End Girls "" was one of the songs that "" round out a collection that never feels too long or superfluous "" , adding that it "" goes some way to installing Tennant and Lowe as national treasures "".","In a review of the live album Concrete , Michael Hubbard from musicOMH said that "" West End Girls "" was one of the songs that "" round out a collection that never feels too long or superfluous "" , adding it "" goes some way to installing Tennant and Lowe as national treasures "".",add,that
"Nitsuh Abebe from Pitchfork Media , in a review of their compilation album PopArt : Pet Shop Boys - The Hits commented that in the song "" we meet Tennant not as a singer , but as a speaker "" , adding that "" he mumbles the verses to us not like a star , but like a stranger in a raincoat , slinking alongside you and pointing out the sights "".","Nitsuh Abebe from Pitchfork Media , in a review of their compilation album PopArt : Pet Shop Boys - The Hits commented in the song "" we meet Tennant not as a singer , but as a speaker "" , adding that "" he mumbles the verses to us not like a star , but like a stranger in a raincoat , slinking alongside you and pointing out the sights "".",comment,that
"Nitsuh Abebe from Pitchfork Media , in a review of their compilation album PopArt : Pet Shop Boys - The Hits commented that in the song "" we meet Tennant not as a singer , but as a speaker "" , adding that "" he mumbles the verses to us not like a star , but like a stranger in a raincoat , slinking alongside you and pointing out the sights "".","Nitsuh Abebe from Pitchfork Media , in a review of their compilation album PopArt : Pet Shop Boys - The Hits commented that in the song "" we meet Tennant not as a singer , but as a speaker "" , adding "" he mumbles the verses to us not like a star , but like a stranger in a raincoat , slinking alongside you and pointing out the sights "".",add,that
"Weary of constantly being asked for her primary genre , she felt that recording a Christmas album would finally pave a way for her to explore other different genres.","Weary of constantly being asked for her primary genre , she felt recording a Christmas album would finally pave a way for her to explore other different genres.",feel,that
"She remarked , "" I always get asked what genre I 'm in : ' Is this country or pop or rock ? What are you ? ' And what 's cool about making the Christmas album was , ' Oh , there are no limitations ! We can do whatever we want ! ' "".","She remarked , "" I always get asked what genre I 'm in : ' Is this country or pop or rock ? What are you ? ' And what 's cool about making the Christmas album was , ' Oh , there are no limitations ! We can do whatever we want ! ' "".",remark,none
"She further added , "" The thing about Christmas is that it almost doesn 't matter what mood you 're in or what kind of a year you 've had — it 's a fresh start.","She further added , "" The thing about Christmas is that it almost doesn 't matter what mood you 're in or what kind of a year you 've had — it 's a fresh start.",add,none
"He recalled , "" It was a lot of fun for us because we got to go back to our roots.","He recalled , "" It was a lot of fun for us because we got to go back to our roots.",recall,none
"Clarkson , who grew up singing in a chorus , was pleased with the aspect ; saying , "" Blending is something I knew how to do from childhood.","Clarkson , who grew up singing in a chorus , was pleased with the aspect ; saying , "" Blending is something I knew how to do from childhood.",say,none
"She commented , "" The production is all him.","She commented , "" The production is all him.",comment,none
"She recalled , "" What 's cool about Christmas albums is you can do jazz , rock and roll , you can do pop , you can do blues , like you can do all that stuff and it works — cause it 's all classic and it 's Christmasy sounding.","She recalled , "" What 's cool about Christmas albums is you can do jazz , rock and roll , you can do pop , you can do blues , like you can do all that stuff and it works — cause it 's all classic and it 's Christmasy sounding.",recall,none
""" She also noted that the album 's multitude of styles positively contributes to her artistic goal , saying , "" My best friend from childhood heard it and said , ' This is what you sound like , before everything else.",""" She also noted the album 's multitude of styles positively contributes to her artistic goal , saying , "" My best friend from childhood heard it and said , ' This is what you sound like , before everything else.",note,that
""" She also noted that the album 's multitude of styles positively contributes to her artistic goal , saying , "" My best friend from childhood heard it and said , ' This is what you sound like , before everything else.",""" She also noted that the album 's multitude of styles positively contributes to her artistic goal , saying , "" My best friend from childhood heard it and said , ' This is what you sound like , before everything else.",say,none
""" She also noted that the album 's multitude of styles positively contributes to her artistic goal , saying , "" My best friend from childhood heard it and said , ' This is what you sound like , before everything else.",""" She also noted that the album 's multitude of styles positively contributes to her artistic goal , saying , "" My best friend from childhood heard it and said , ' This is what you sound like , before everything else.",say,none
"' And I agree , It 's my core sound.","' And I agree , It 's my core sound.",agree,none
"Clarkson remarked , "" Greg and I have worked a lot together , but usually I just come in and I just sing.","Clarkson remarked , "" Greg and I have worked a lot together , but usually I just come in and I just sing.",remark,none
""" RCA Records chief executive Peter Edge remarked that its release as a single was partly inspired by the success of "" All I Want for Christmas Is You "" by Carey.",""" RCA Records chief executive Peter Edge remarked its release as a single was partly inspired by the success of "" All I Want for Christmas Is You "" by Carey.",remark,that
"Clarkson favored "" Run Run Rudolph "" as her favorite classic , saying "" Just because it got to be a little more rock and roll.","Clarkson favored "" Run Run Rudolph "" as her favorite classic , saying "" Just because it got to be a little more rock and roll.",say,none
""" She also remarked that "" Please Come Home for Christmas ( Bells Will Be Ringing ) "" , was the first song selected for inclusion after her mother 's recommendation and the song 's melancholic lyrics.",""" She also remarked "" Please Come Home for Christmas ( Bells Will Be Ringing ) "" , was the first song selected for inclusion after her mother 's recommendation and the song 's melancholic lyrics.",remark,that
